id country experiment theory score
125 28 7.299999999999999 4.8 12.099999999999998
126 28 4.3 13.799999999999999 18.099999999999998
127 28 3.4999999999999996 7.899999999999999 11.399999999999999
128 28 4.0 6.9 10.9
129 29 1.2000000000000002 7.1000000000000005 8.3
130 29 4.1 12.2 16.299999999999997
131 29 0.0 0.6 0.6
132 30 2.6 5.8 8.4
133 30 5.7 8.7 14.399999999999999
134 30 3.1 7.3 10.4
135 30 4.0 9.5 13.5
136 30 6.500000000000001 11.0 17.5
137 31 18.200000000000003 25.200000000000003 43.400000000000006
138 31 11.299999999999997 27.600000000000005 38.900000000000006
139 31 9.700000000000001 22.799999999999997 32.5
140 31 7.9 19.099999999999998 27.0
141 31 10.5 25.200000000000003 35.7
142 32 5.800000000000001 18.199999999999996 23.999999999999996
143 32 6.500000000000001 13.799999999999999 20.3
